Onset Time	Offset Time	Midi Pitch
1.50	1.60	62
1.50	1.76	65
1.83	1.94	65
1.83	1.91	58
1.83	1.92	62
2.06	2.10	68
2.10	2.30	69
2.38	2.49	60
2.38	2.52	69
2.39	2.51	65
2.53	2.82	74
2.54	2.60	62
2.55	2.66	65
2.55	2.61	70
2.90	3.03	74
2.92	3.03	62
2.93	3.01	70
2.93	3.02	65
3.12	3.39	77
3.43	3.54	65
3.43	3.53	70
3.44	3.75	77
3.45	3.55	74
4.54	4.61	67
4.68	4.83	69
4.93	4.96	65
4.94	5.04	72
4.94	5.01	69
5.09	5.18	69
5.09	5.17	72
5.09	5.17	65
5.11	5.33	75
5.45	5.55	72
5.46	5.53	69
5.46	5.57	75
5.46	5.54	65
5.60	5.67	70
5.60	5.91	74
5.61	5.69	65
5.95	6.04	70
5.96	6.05	74
5.97	6.02	65
5.97	6.05	62
6.16	6.27	68
6.29	6.45	68
6.47	6.58	65
6.48	6.59	60
6.48	6.60	69
6.63	6.79	62
6.98	7.10	62
7.16	7.22	64
7.25	7.57	65
7.63	7.95	65
8.09	8.23	65
8.10	8.21	62
8.35	8.53	65
8.60	8.70	62
8.61	8.69	67
8.62	8.69	57
8.80	8.84	64
8.83	9.01	65
9.19	9.22	64
9.21	9.49	65
9.51	9.60	64
9.65	9.74	63
9.71	9.89	72
9.74	9.85	69
9.75	9.88	60
9.77	9.89	65
