0,5.1664e+07,0,6.5596e+08,594,6
0,9.346e+08,1,2.829e+08,667,91
1,3.2934e+08,2,4.9161e+07,593,855
2,1.4785e+08,2,7.5737e+08,527,741
2,8.0381e+08,3,2.7982e+08,495,988
3,3.785e+08,3,5.9909e+07,443,559
3,6.5712e+08,4,4.8145e+08,394,854
4,6.3238e+08,4,9.5746e+08,394,998
5,3.873e+07,5,3.8122e+08,495,817
5,4.0444e+08,5,7.2372e+07,527,422
5,7.8755e+07,6,3.739e+08,593,173
6,4.8998e+08,7,1.2404e+07,593,329
7,2.9107e+08,7,4.5941e+07,352,465
7,5.6971e+08,8,1.6689e+07,394,181
8,6.3129e+07,8,6.3202e+08,443,924
8,7.8295e+08,9,5.376e+08,444,681
