0,9.4039e+08,0,3.1351e+08,791,729
1,3.0032e+07,0,3.3086e+08,791,506
1,6.7764e+08,0,1.9737e+08,885,779
1,9.8531e+08,0,5.805e+08,1050,12
2,6.0642e+08,0,2.5542e+08,886,389
3,1.1565e+06,0,1.7415e+08,791,596
3,3.3673e+08,0,1.8163e+08,886,63
3,5.9329e+08,0,8.3592e+08,668,69
4,6.1497e+08,0,2.0898e+08,791,429
4,9.8066e+08,0,8.6494e+07,668,26
6,2.5556e+07,0,2.322e+08,791,663
6,4.2029e+08,0,8.7075e+08,527,88
7,5.0005e+08,0,2.6703e+08,791,154
7,8.7156e+08,0,6.1533e+08,667,476
8,6.2039e+08,0,2.38e+08,593,42
8,9.9193e+08,0,2.322e+08,528,48
9,3.8084e+08,0,5.9791e+08,593,988
