1,8.8082e+08,3,9.9864e+07,496,35
3,2.5079e+07,3,6.3392e+08,495,446
1,1.0295e+08,1,8.576e+08,592,859
3,6.5134e+08,3,9.7642e+08,592,382
4,3.4444e+07,4,3.6533e+08,665,907
4,4.9306e+08,5,8.224e+08,444,31
6,2.7519e+08,6,6.0027e+08,443,45
6,6.6993e+08,7,1.8231e+07,495,81
7,2.4014e+07,7,7.7866e+08,526,515
7,8.4832e+08,8,8.0034e+08,790,734
8,8.8161e+08,9,2.4152e+08,790,368
9,2.6476e+08,9,4.7374e+08,739,913
9,6.595e+08,10,3.102e+07,593,313
10,6.5828e+07,10,4.3154e+08,666,96
10,4.722e+08,10,6.0571e+08,592,643
10,6.6957e+07,10,8.8435e+07,526,5
10,9.4821e+08,11,9.3506e+08,496,36
