0,6.3272e+08,0,9.8102e+08,592,906
1,1.0045e+07,1,3.5834e+07,666,879
1,3.8159e+08,1,7.3569e+08,666,802
2,2.7211e+06,2,2.8136e+08,666,425
2,5.0773e+08,2,6.9349e+08,881,751
2,8.154e+08,3,9.9841e+07,791,338
3,1.4048e+07,3,4.7717e+08,740,971
3,4.946e+08,3,6.8036e+08,791,451
3,8.0807e+08,4,1.5637e+08,667,41
4,1.6798e+08,5,2.0707e+08,593,528
5,4.2186e+07,5,8.7463e+08,395,325
5,8.7463e+07,6,1.5327e+08,442,669
6,2.6937e+08,6,6.2347e+08,495,777
6,6.9893e+07,7,9.3696e+07,666,852
7,9.3696e+07,7,4.0134e+08,666,716
7,4.1875e+08,7,8.7737e+08,593,445
7,8.7737e+08,7,9.9925e+06,593,409
8,1.0957e+07,8,3.5918e+08,593,25
8,3.5918e+08,8,4.8689e+08,594,623
8,5.2753e+08,8,7.5973e+07,526,362
8,7.5973e+08,8,9.571e+08,526,88
8,9.629e+08,9,2.1252e+08,495,887
9,2.1252e+08,9,4.5052e+08,495,929
9,8.6268e+08,10,3.8512e+08,184,395
10,4.7798e+08,11,2.7907e+08,197,779
