0,8.6494e+07,1,3.3288e+07,592,106
1,5.6508e+07,1,4.5125e+08,790,11
1,5.4993e+08,1,8.7503e+08,666,117
1,9.3306e+08,2,3.6263e+08,665,885
2,4.3229e+08,2,7.8059e+08,593,331
2,7.8639e+08,3,1.2889e+08,593,277
3,1.8113e+08,3,3.9592e+08,527,99
3,4.3073e+08,4,6.3515e+07,666,477
4,3.7694e+08,4,6.3236e+08,790,7
4,7.8331e+08,5,5.9601e+08,667,371
5,5.9601e+07,5,6.9469e+08,668,638
5,8.8045e+08,6,1.0685e+08,790,784
6,3.7968e+08,7,2.6785e+08,527,96
7,5.0583e+08,7,8.251e+07,790,824
7,9.7023e+08,8,6.7268e+08,666,867
8,6.9587e+08,8,9.6871e+08,593,508
9,9.6417e+07,9,3.8086e+08,527,973
9,5.3177e+08,10,2.0515e+08,593,527
10,4.6057e+08,10,7.7984e+08,666,784
10,8.263e+08,11,5.9837e+08,593,433
11,7.6669e+08,12,2.3109e+08,527,578
12,2.3692e+08,12,6.6649e+08,496,16
12,7.942e+08,12,9.7415e+08,443,792
13,8.9796e+06,14,1.7578e+08,395,422
